rating,weight,title,minplayers,maxplayers,link,rank,bg_id,maxplaytime,minplaytime
6.6445,1.8095,Gardens,2,4,http://www.boardgamegeek.com/boardgame/153422,706,153422,45,45
6.65744,1.6667,Stones of Fate,2,4,http://www.boardgamegeek.com/boardgame/130499,707,130499,30,20
6.68446,1.4386,Potato Man,2,5,http://www.boardgamegeek.com/boardgame/137155,708,137155,40,40
7.01495,1.5,Ember: the Magical Card Game,2,5,http://www.boardgamegeek.com/boardgame/183405,710,183405,30,10
6.50336,1.2679,Drive,2,4,http://www.boardgamegeek.com/boardgame/6137,102,6137,30,30
6.50791,1.9598,Scotland Yard,3,6,http://www.boardgamegeek.com/boardgame/438,107,438,45,45
6.5708,2.1724,Mr. President,2,4,http://www.boardgamegeek.com/boardgame/476,123,476,60,60
6.99107,2.1225,Haggis,2,3,http://www.boardgamegeek.com/boardgame/37628,179,37628,45,45
7.31382,2.472,Saint Petersburg,2,4,http://www.boardgamegeek.com/boardgame/9217,180,9217,60,45
6.99785,1.4915,Carrom,2,4,http://www.boardgamegeek.com/boardgame/5072,266,5072,60,60
6.95561,1.8667,Bowl Bound,1,4,http://www.boardgamegeek.com/boardgame/3226,274,3226,60,60
6.97493,1.0256,WeyKick,2,4,http://www.boardgamegeek.com/boardgame/20295,279,20295,10,10
7.18687,1.4516,Rod Hockey,2,4,http://www.boardgamegeek.com/boardgame/5445,282,5445,20,20
6.57878,2.0741,Harbour,1,4,http://www.boardgamegeek.com/boardgame/155969,504,155969,60,30
6.51091,2.1458,Madame Ching,2,4,http://www.boardgamegeek.com/boardgame/154443,516,154443,45,45
6.88227,1.8667,Bullfrogs,2,4,http://www.boardgamegeek.com/boardgame/149853,519,149853,40,20
7.10296,2.3611,Barony,2,4,http://www.boardgamegeek.com/boardgame/167513,523,167513,45,45
6.90097,1.1667,Musée,2,4,http://www.boardgamegeek.com/boardgame/163056,529,163056,30,30
7.03129,2.2885,Rum & Bones,2,6,http://www.boardgamegeek.com/boardgame/168788,533,168788,60,60
7.59036,2.177,Baseball Highlights: 2045,1,4,http://www.boardgamegeek.com/boardgame/151022,534,151022,45,45
7.95184,1.8017,Azul,2,4,http://www.boardgamegeek.com/boardgame/230802,540,230802,45,30
7.67073,1.7619,Santorini,2,4,http://www.boardgamegeek.com/boardgame/194655,549,194655,20,20
7.78489,1.2699,Crokinole,2,4,http://www.boardgamegeek.com/boardgame/521,550,521,30,30
6.83838,2.0755,Rapa Nui,2,4,http://www.boardgamegeek.com/boardgame/103132,401,103132,40,40
6.9329,2.1606,Santiago de Cuba,2,4,http://www.boardgamegeek.com/boardgame/104347,406,104347,75,40
6.84987,2.2701,Pastiche,2,4,http://www.boardgamegeek.com/boardgame/91620,407,91620,60,45
7.03073,2.3836,Fantastiqa,2,4,http://www.boardgamegeek.com/boardgame/125046,416,125046,60,45
6.94314,1.8641,The Great Heartland Hauling Co.,2,4,http://www.boardgamegeek.com/boardgame/111417,419,111417,30,30
6.64423,1.6111,NOIR: Deductive Mystery Game,2,9,http://www.boardgamegeek.com/boardgame/102148,422,102148,5,5
6.85817,2.3564,OddVille,2,4,http://www.boardgamegeek.com/boardgame/123219,424,123219,45,45
7.42761,2.9049,Ginkgopolis,1,5,http://www.boardgamegeek.com/boardgame/128271,434,128271,45,45
6.67899,1.32,Würfel Bohnanza,2,5,http://www.boardgamegeek.com/boardgame/111148,437,111148,45,45
7.98223,2.5,Hoplomachus: The Lost Cities,1,3,http://www.boardgamegeek.com/boardgame/124839,442,124839,60,60
8.00853,3.0775,BattleCON: Devastation of Indines,1,5,http://www.boardgamegeek.com/boardgame/123123,459,123123,45,45
7.46175,2.9724,Glass Road,1,4,http://www.boardgamegeek.com/boardgame/143693,461,143693,80,20
7.05132,2.3647,Cinque Terre,2,5,http://www.boardgamegeek.com/boardgame/124052,465,124052,60,60
6.51991,1.7877,The Builders: Middle Ages,2,4,http://www.boardgamegeek.com/boardgame/144553,467,144553,30,30
